Model,Family,Candidate,Fold,AP,Params
MetaRF,RF,12,2,0.4610904123199205,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
MetaRF,RF,12,3,0.15555555555555556,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
MetaRF,RF,12,4,0.4905913978494624,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,1,1,0.48190476190476184,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,1,2,0.6068115942028984,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,1,3,0.20352564102564102,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,1,4,0.5425,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,2,1,0.6692982456140351,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,2,2,0.6523809523809523,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,2,3,0.20026709401709403,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,2,4,0.4976532239690134,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,3,1,0.646969696969697,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,3,2,0.6404761904761904,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,3,3,0.15669642857142857,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,3,4,0.4793545534924845,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,4,1,0.2623701279519252,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
ExtraTrees,ExtraTrees,4,2,0.5634963768115941,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
ExtraTrees,ExtraTrees,4,3,0.03756749178862051,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
ExtraTrees,ExtraTrees,4,4,0.5339544513457557,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
ExtraTrees,ExtraTrees,5,1,0.2709533741714038,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200}"
ExtraTrees,ExtraTrees,5,2,0.40730374322904034,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200}"
ExtraTrees,ExtraTrees,5,3,0.04959478098469078,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200}"
ExtraTrees,ExtraTrees,5,4,0.6384057971014492,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200}"
ExtraTrees,ExtraTrees,6,1,0.08273461431356167,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
ExtraTrees,ExtraTrees,6,2,0.5025233931584598,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
ExtraTrees,ExtraTrees,6,3,0.054051477174963856,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
ExtraTrees,ExtraTrees,6,4,0.43939503932244406,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
ExtraTrees,ExtraTrees,7,1,0.08445744169148425,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
ExtraTrees,ExtraTrees,7,2,0.5091331269349846,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
ExtraTrees,ExtraTrees,7,3,0.04303271441202476,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
ExtraTrees,ExtraTrees,7,4,0.4298818283166109,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
ExtraTrees,ExtraTrees,8,1,0.12523504273504274,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,8,2,0.5142091648189209,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,8,3,0.05517047551931273,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,8,4,0.4284679089026915,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":350}"
ExtraTrees,ExtraTrees,9,1,0.11617353660831922,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
ExtraTrees,ExtraTrees,9,2,0.5133016208597603,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
ExtraTrees,ExtraTrees,9,3,0.05182443275115689,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
ExtraTrees,ExtraTrees,9,4,0.4284679089026915,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
ExtraTrees,ExtraTrees,10,1,0.33732600732600737,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,10,2,0.5429411764705883,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,10,3,0.1508220502901354,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,10,4,0.549047619047619,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,11,1,0.43470209339774557,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,11,2,0.5529411764705883,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,11,3,0.15573534255599472,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,11,4,0.5527777777777778,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
ExtraTrees,ExtraTrees,12,1,0.42848484848484847,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,12,2,0.5575,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,12,3,0.15573232323232322,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
ExtraTrees,ExtraTrees,12,4,0.49249084249084246,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
GradientBoosting,GradientBoosting,1,1,0.31047619047619046,"{""learning_rate"":0.03,""max_depth"":1,""min_samples_leaf"":2,""n_estimators"":200,""subsample"":1.0}"
GradientBoosting,GradientBoosting,1,2,0.20850793650793653,"{""learning_rate"":0.03,""max_depth"":1,""min_samples_leaf"":2,""n_estimators"":200,""subsample"":1.0}"
GradientBoosting,GradientBoosting,1,3,0.00850889300546051,"{""learning_rate"":0.03,""max_depth"":1,""min_samples_leaf"":2,""n_estimators"":200,""subsample"":1.0}"
GradientBoosting,GradientBoosting,1,4,0.25338345864661654,"{""learning_rate"":0.03,""max_depth"":1,""min_samples_leaf"":2,""n_estimators"":200,""subsample"":1.0}"
GradientBoosting,GradientBoosting,2,1,0.525886524822695,"{""learning_rate"":0.03,""max_depth"":2,""min_samples_leaf"":2,""n_estimators"":100,""subsample"":0.8}"
